Title,Count
2001 MAY,59
2001 JUN,60
2001 JUL,58
2001 AUG,63
2001 SEP,59
2001 OCT,59
2001 NOV,53
2001 DEC,54
2002 JAN,55
2002 FEB,56
2002 MAR,56
2002 APR,55
2002 MAY,55
2002 JUN,53
2002 JUL,55
2002 AUG,53
2002 SEP,55
2002 OCT,53
2002 NOV,54
2002 DEC,53
2003 JAN,52
2003 FEB,50
2003 MAR,53
2003 APR,57
2003 MAY,58
2003 JUN,62
2003 JUL,56
2003 AUG,55
2003 SEP,54
2003 OCT,55
2003 NOV,54
2003 DEC,56
2004 JAN,57
2004 FEB,58
2004 MAR,58
2004 APR,57
2004 MAY,53
2004 JUN,57
2004 JUL,56
2004 AUG,58
2004 SEP,56
2004 OCT,56
2004 NOV,57
2004 DEC,58
2005 JAN,57
2005 FEB,52
2005 MAR,53
2005 APR,54
2005 MAY,54
2005 JUN,54
2005 JUL,54
2005 AUG,55
2005 SEP,57
2005 OCT,56
2005 NOV,55
2005 DEC,53
2006 JAN,52
2006 FEB,49
2006 MAR,49
2006 APR,47
2006 MAY,46
2006 JUN,46
2006 JUL,49
2006 AUG,51
2006 SEP,53
2006 OCT,53
2006 NOV,52
2006 DEC,55
2007 JAN,54
2007 FEB,56
2007 MAR,54
2007 APR,56
2007 MAY,55
2007 JUN,54
2007 JUL,55
2007 AUG,55
2007 SEP,56
2007 OCT,58
2007 NOV,59
2007 DEC,63
2008 JAN,66
2008 FEB,69
2008 MAR,66
2008 APR,64
2008 MAY,61
2008 JUN,62
2008 JUL,60
2008 AUG,58
2008 SEP,54
2008 OCT,51
2008 NOV,48
2008 DEC,42
2009 JAN,42
2009 FEB,42
2009 MAR,45
2009 APR,44
2009 MAY,40
2009 JUN,42
2009 JUL,41
2009 AUG,42
2009 SEP,41
2009 OCT,42
2009 NOV,44
2009 DEC,41
2010 JAN,43
2010 FEB,44
2010 MAR,46
2010 APR,48
2010 MAY,47
2010 JUN,47
2010 JUL,46
2010 AUG,46
2010 SEP,46
2010 OCT,43
2010 NOV,43
2010 DEC,43
2011 JAN,48
2011 FEB,46
2011 MAR,47
2011 APR,45
2011 MAY,46
2011 JUN,45
2011 JUL,45
2011 AUG,44
2011 SEP,44
2011 OCT,44
2011 NOV,43
2011 DEC,46
2012 JAN,47
2012 FEB,46
2012 MAR,46
2012 APR,47
2012 MAY,47
2012 JUN,48
2012 JUL,49
2012 AUG,51
2012 SEP,53
2012 OCT,54
2012 NOV,53
2012 DEC,50
2013 JAN,49
2013 FEB,48
2013 MAR,50
2013 APR,52
2013 MAY,55
2013 JUN,58
2013 JUL,56
2013 AUG,59
2013 SEP,59
2013 OCT,64
2013 NOV,63
2013 DEC,63
2014 JAN,63
2014 FEB,62
2014 MAR,67
2014 APR,70
2014 MAY,72
2014 JUN,75
2014 JUL,76
2014 AUG,76
2014 SEP,77
2014 OCT,78
2014 NOV,77
2014 DEC,79
2015 JAN,79
2015 FEB,78
2015 MAR,79
2015 APR,80
2015 MAY,80
2015 JUN,79
2015 JUL,82
2015 AUG,84
2015 SEP,85
2015 OCT,85
2015 NOV,84
2015 DEC,83
2016 JAN,80
2016 FEB,83
2016 MAR,84
2016 APR,86
2016 MAY,81
2016 JUN,79
2016 JUL,78
2016 AUG,78
2016 SEP,79
2016 OCT,81
2016 NOV,83
2016 DEC,87
2017 JAN,91
2017 FEB,91
2017 MAR,90
2017 APR,90
2017 MAY,91
2017 JUN,93
2017 JUL,93
2017 AUG,91
2017 SEP,90
2017 OCT,91
2017 NOV,93
2017 DEC,94
2018 JAN,93
2018 FEB,89
2018 MAR,87
2018 APR,88
2018 MAY,91
2018 JUN,93
2018 JUL,93
2018 AUG,93
2018 SEP,94
2018 OCT,92
2018 NOV,93
2018 DEC,93
