Title,Count
2001 MAY,41
2001 JUN,39
2001 JUL,39
2001 AUG,39
2001 SEP,38
2001 OCT,36
2001 NOV,34
2001 DEC,32
2002 JAN,32
2002 FEB,32
2002 MAR,32
2002 APR,33
2002 MAY,33
2002 JUN,32
2002 JUL,32
2002 AUG,30
2002 SEP,31
2002 OCT,30
2002 NOV,31
2002 DEC,31
2003 JAN,30
2003 FEB,30
2003 MAR,29
2003 APR,30
2003 MAY,28
2003 JUN,27
2003 JUL,28
2003 AUG,29
2003 SEP,30
2003 OCT,29
2003 NOV,31
2003 DEC,31
2004 JAN,32
2004 FEB,33
2004 MAR,33
2004 APR,33
2004 MAY,34
2004 JUN,36
2004 JUL,37
2004 AUG,37
2004 SEP,38
2004 OCT,39
2004 NOV,39
2004 DEC,40
2005 JAN,39
2005 FEB,37
2005 MAR,37
2005 APR,38
2005 MAY,38
2005 JUN,38
2005 JUL,36
2005 AUG,37
2005 SEP,36
2005 OCT,37
2005 NOV,37
2005 DEC,38
2006 JAN,38
2006 FEB,38
2006 MAR,38
2006 APR,39
2006 MAY,40
2006 JUN,42
2006 JUL,42
2006 AUG,43
2006 SEP,42
2006 OCT,42
2006 NOV,42
2006 DEC,43
2007 JAN,43
2007 FEB,42
2007 MAR,43
2007 APR,43
2007 MAY,44
2007 JUN,46
2007 JUL,46
2007 AUG,45
2007 SEP,44
2007 OCT,43
2007 NOV,44
2007 DEC,44
2008 JAN,44
2008 FEB,45
2008 MAR,43
2008 APR,40
2008 MAY,37
2008 JUN,36
2008 JUL,33
2008 AUG,39
2008 SEP,36
2008 OCT,36
2008 NOV,32
2008 DEC,30
2009 JAN,29
2009 FEB,24
2009 MAR,23
2009 APR,23
2009 MAY,22
2009 JUN,20
2009 JUL,21
2009 AUG,21
2009 SEP,25
2009 OCT,26
2009 NOV,28
2009 DEC,30
2010 JAN,29
2010 FEB,28
2010 MAR,28
2010 APR,31
2010 MAY,32
2010 JUN,32
2010 JUL,31
2010 AUG,32
2010 SEP,31
2010 OCT,31
2010 NOV,29
2010 DEC,28
2011 JAN,29
2011 FEB,32
2011 MAR,32
2011 APR,32
2011 MAY,31
2011 JUN,35
2011 JUL,34
2011 AUG,35
2011 SEP,33
2011 OCT,35
2011 NOV,34
2011 DEC,33
2012 JAN,32
2012 FEB,31
2012 MAR,31
2012 APR,31
2012 MAY,32
2012 JUN,33
2012 JUL,33
2012 AUG,33
2012 SEP,33
2012 OCT,32
2012 NOV,35
2012 DEC,35
2013 JAN,38
2013 FEB,37
2013 MAR,39
2013 APR,39
2013 MAY,38
2013 JUN,36
2013 JUL,37
2013 AUG,37
2013 SEP,37
2013 OCT,37
2013 NOV,37
2013 DEC,40
2014 JAN,42
2014 FEB,46
2014 MAR,45
2014 APR,47
2014 MAY,47
2014 JUN,48
2014 JUL,47
2014 AUG,45
2014 SEP,47
2014 OCT,48
2014 NOV,52
2014 DEC,53
2015 JAN,53
2015 FEB,53
2015 MAR,51
2015 APR,51
2015 MAY,51
2015 JUN,51
2015 JUL,51
2015 AUG,52
2015 SEP,53
2015 OCT,53
2015 NOV,51
2015 DEC,52
2016 JAN,51
2016 FEB,49
2016 MAR,48
2016 APR,48
2016 MAY,49
2016 JUN,50
2016 JUL,52
2016 AUG,52
2016 SEP,55
2016 OCT,56
2016 NOV,54
2016 DEC,51
2017 JAN,48
2017 FEB,54
2017 MAR,54
2017 APR,55
2017 MAY,53
2017 JUN,54
2017 JUL,55
2017 AUG,54
2017 SEP,50
2017 OCT,53
2017 NOV,53
2017 DEC,54
2018 JAN,52
2018 FEB,53
2018 MAR,52
2018 APR,54
2018 MAY,55
2018 JUN,57
2018 JUL,57
2018 AUG,59
2018 SEP,59
2018 OCT,55
2018 NOV,53
2018 DEC,55
