Title,Count
2001 MAY,18
2001 JUN,17
2001 JUL,16
2001 AUG,16
2001 SEP,15
2001 OCT,14
2001 NOV,13
2001 DEC,13
2002 JAN,15
2002 FEB,14
2002 MAR,16
2002 APR,14
2002 MAY,14
2002 JUN,14
2002 JUL,15
2002 AUG,14
2002 SEP,13
2002 OCT,12
2002 NOV,13
2002 DEC,14
2003 JAN,14
2003 FEB,14
2003 MAR,13
2003 APR,13
2003 MAY,12
2003 JUN,12
2003 JUL,12
2003 AUG,12
2003 SEP,14
2003 OCT,15
2003 NOV,15
2003 DEC,14
2004 JAN,13
2004 FEB,13
2004 MAR,14
2004 APR,15
2004 MAY,15
2004 JUN,14
2004 JUL,14
2004 AUG,14
2004 SEP,14
2004 OCT,14
2004 NOV,14
2004 DEC,14
2005 JAN,13
2005 FEB,12
2005 MAR,11
2005 APR,11
2005 MAY,12
2005 JUN,13
2005 JUL,14
2005 AUG,12
2005 SEP,12
2005 OCT,11
2005 NOV,13
2005 DEC,14
2006 JAN,13
2006 FEB,13
2006 MAR,13
2006 APR,12
2006 MAY,12
2006 JUN,13
2006 JUL,13
2006 AUG,12
2006 SEP,12
2006 OCT,12
2006 NOV,11
2006 DEC,10
2007 JAN,10
2007 FEB,11
2007 MAR,12
2007 APR,13
2007 MAY,14
2007 JUN,13
2007 JUL,12
2007 AUG,13
2007 SEP,13
2007 OCT,14
2007 NOV,12
2007 DEC,12
2008 JAN,13
2008 FEB,15
2008 MAR,14
2008 APR,13
2008 MAY,10
2008 JUN,8
2008 JUL,10
2008 AUG,10
2008 SEP,12
2008 OCT,12
2008 NOV,11
2008 DEC,11
2009 JAN,9
2009 FEB,10
2009 MAR,10
2009 APR,12
2009 MAY,11
2009 JUN,10
2009 JUL,10
2009 AUG,9
2009 SEP,10
2009 OCT,11
2009 NOV,14
2009 DEC,16
2010 JAN,14
2010 FEB,11
2010 MAR,10
2010 APR,10
2010 MAY,11
2010 JUN,11
2010 JUL,11
2010 AUG,11
2010 SEP,10
2010 OCT,10
2010 NOV,9
2010 DEC,9
2011 JAN,9
2011 FEB,9
2011 MAR,9
2011 APR,9
2011 MAY,9
2011 JUN,11
2011 JUL,13
2011 AUG,14
2011 SEP,13
2011 OCT,12
2011 NOV,11
2011 DEC,10
2012 JAN,9
2012 FEB,8
2012 MAR,10
2012 APR,11
2012 MAY,12
2012 JUN,11
2012 JUL,10
2012 AUG,10
2012 SEP,12
2012 OCT,13
2012 NOV,14
2012 DEC,13
2013 JAN,13
2013 FEB,13
2013 MAR,14
2013 APR,12
2013 MAY,12
2013 JUN,12
2013 JUL,12
2013 AUG,12
2013 SEP,11
2013 OCT,11
2013 NOV,10
2013 DEC,11
2014 JAN,13
2014 FEB,14
2014 MAR,15
2014 APR,15
2014 MAY,15
2014 JUN,16
2014 JUL,16
2014 AUG,14
2014 SEP,14
2014 OCT,13
2014 NOV,14
2014 DEC,14
2015 JAN,16
2015 FEB,17
2015 MAR,17
2015 APR,16
2015 MAY,16
2015 JUN,16
2015 JUL,15
2015 AUG,14
2015 SEP,14
2015 OCT,15
2015 NOV,16
2015 DEC,17
2016 JAN,17
2016 FEB,19
2016 MAR,18
2016 APR,17
2016 MAY,16
2016 JUN,18
2016 JUL,21
2016 AUG,24
2016 SEP,22
2016 OCT,21
2016 NOV,18
2016 DEC,17
2017 JAN,16
2017 FEB,15
2017 MAR,17
2017 APR,17
2017 MAY,18
2017 JUN,16
2017 JUL,14
2017 AUG,18
2017 SEP,18
2017 OCT,21
2017 NOV,20
2017 DEC,21
2018 JAN,21
2018 FEB,22
2018 MAR,22
2018 APR,23
2018 MAY,23
2018 JUN,21
2018 JUL,19
2018 AUG,18
2018 SEP,20
2018 OCT,23
2018 NOV,23
2018 DEC,23
