Title,Count
2001 MAY,32
2001 JUN,32
2001 JUL,31
2001 AUG,32
2001 SEP,32
2001 OCT,32
2001 NOV,33
2001 DEC,33
2002 JAN,33
2002 FEB,35
2002 MAR,33
2002 APR,33
2002 MAY,31
2002 JUN,32
2002 JUL,33
2002 AUG,35
2002 SEP,35
2002 OCT,36
2002 NOV,37
2002 DEC,38
2003 JAN,38
2003 FEB,39
2003 MAR,39
2003 APR,39
2003 MAY,40
2003 JUN,39
2003 JUL,39
2003 AUG,40
2003 SEP,40
2003 OCT,40
2003 NOV,39
2003 DEC,39
2004 JAN,38
2004 FEB,38
2004 MAR,38
2004 APR,38
2004 MAY,38
2004 JUN,39
2004 JUL,40
2004 AUG,40
2004 SEP,40
2004 OCT,40
2004 NOV,41
2004 DEC,42
2005 JAN,42
2005 FEB,43
2005 MAR,43
2005 APR,43
2005 MAY,43
2005 JUN,42
2005 JUL,42
2005 AUG,41
2005 SEP,42
2005 OCT,41
2005 NOV,43
2005 DEC,43
2006 JAN,44
2006 FEB,43
2006 MAR,43
2006 APR,41
2006 MAY,43
2006 JUN,44
2006 JUL,45
2006 AUG,45
2006 SEP,45
2006 OCT,44
2006 NOV,43
2006 DEC,44
2007 JAN,44
2007 FEB,47
2007 MAR,48
2007 APR,49
2007 MAY,50
2007 JUN,50
2007 JUL,50
2007 AUG,50
2007 SEP,51
2007 OCT,51
2007 NOV,51
2007 DEC,50
2008 JAN,49
2008 FEB,48
2008 MAR,48
2008 APR,49
2008 MAY,49
2008 JUN,50
2008 JUL,50
2008 AUG,51
2008 SEP,51
2008 OCT,53
2008 NOV,52
2008 DEC,51
2009 JAN,48
2009 FEB,49
2009 MAR,50
2009 APR,50
2009 MAY,50
2009 JUN,50
2009 JUL,51
2009 AUG,53
2009 SEP,52
2009 OCT,52
2009 NOV,51
2009 DEC,52
2010 JAN,52
2010 FEB,52
2010 MAR,53
2010 APR,51
2010 MAY,49
2010 JUN,41
2010 JUL,35
2010 AUG,29
2010 SEP,29
2010 OCT,30
2010 NOV,30
2010 DEC,29
2011 JAN,28
2011 FEB,28
2011 MAR,28
2011 APR,28
2011 MAY,28
2011 JUN,29
2011 JUL,30
2011 AUG,30
2011 SEP,32
2011 OCT,32
2011 NOV,32
2011 DEC,33
2012 JAN,32
2012 FEB,33
2012 MAR,33
2012 APR,34
2012 MAY,34
2012 JUN,37
2012 JUL,36
2012 AUG,37
2012 SEP,38
2012 OCT,38
2012 NOV,38
2012 DEC,38
2013 JAN,39
2013 FEB,39
2013 MAR,39
2013 APR,39
2013 MAY,40
2013 JUN,41
2013 JUL,39
2013 AUG,39
2013 SEP,37
2013 OCT,40
2013 NOV,40
2013 DEC,42
2014 JAN,44
2014 FEB,47
2014 MAR,50
2014 APR,50
2014 MAY,50
2014 JUN,50
2014 JUL,51
2014 AUG,50
2014 SEP,50
2014 OCT,51
2014 NOV,52
2014 DEC,52
2015 JAN,51
2015 FEB,51
2015 MAR,52
2015 APR,51
2015 MAY,51
2015 JUN,53
2015 JUL,51
2015 AUG,49
2015 SEP,47
2015 OCT,49
2015 NOV,49
2015 DEC,53
2016 JAN,52
2016 FEB,51
2016 MAR,50
2016 APR,49
2016 MAY,48
2016 JUN,47
2016 JUL,47
2016 AUG,49
2016 SEP,49
2016 OCT,48
2016 NOV,48
2016 DEC,48
2017 JAN,50
2017 FEB,52
2017 MAR,54
2017 APR,52
2017 MAY,49
2017 JUN,50
2017 JUL,50
2017 AUG,51
2017 SEP,52
2017 OCT,52
2017 NOV,50
2017 DEC,50
2018 JAN,49
2018 FEB,48
2018 MAR,46
2018 APR,48
2018 MAY,48
2018 JUN,51
2018 JUL,50
2018 AUG,50
2018 SEP,49
2018 OCT,50
2018 NOV,50
2018 DEC,49
