Title,Count
2001 MAY,2
2001 JUN,2
2001 JUL,3
2001 AUG,3
2001 SEP,3
2001 OCT,2
2001 NOV,2
2001 DEC,2
2002 JAN,2
2002 FEB,2
2002 MAR,2
2002 APR,2
2002 MAY,2
2002 JUN,2
2002 JUL,2
2002 AUG,2
2002 SEP,1
2002 OCT,1
2002 NOV,1
2002 DEC,1
2003 JAN,1
2003 FEB,2
2003 MAR,2
2003 APR,2
2003 MAY,2
2003 JUN,2
2003 JUL,2
2003 AUG,2
2003 SEP,2
2003 OCT,2
2003 NOV,2
2003 DEC,2
2004 JAN,1
2004 FEB,1
2004 MAR,1
2004 APR,1
2004 MAY,2
2004 JUN,2
2004 JUL,2
2004 AUG,2
2004 SEP,2
2004 OCT,2
2004 NOV,2
2004 DEC,2
2005 JAN,2
2005 FEB,2
2005 MAR,2
2005 APR,2
2005 MAY,2
2005 JUN,2
2005 JUL,2
2005 AUG,2
2005 SEP,2
2005 OCT,2
2005 NOV,2
2005 DEC,2
2006 JAN,2
2006 FEB,2
2006 MAR,2
2006 APR,2
2006 MAY,2
2006 JUN,2
2006 JUL,2
2006 AUG,2
2006 SEP,2
2006 OCT,2
2006 NOV,2
2006 DEC,2
2007 JAN,2
2007 FEB,2
2007 MAR,2
2007 APR,2
2007 MAY,3
2007 JUN,3
2007 JUL,2
2007 AUG,2
2007 SEP,2
2007 OCT,2
2007 NOV,3
2007 DEC,3
2008 JAN,3
2008 FEB,3
2008 MAR,3
2008 APR,3
2008 MAY,3
2008 JUN,3
2008 JUL,3
2008 AUG,3
2008 SEP,3
2008 OCT,3
2008 NOV,2
2008 DEC,3
2009 JAN,3
2009 FEB,3
2009 MAR,2
2009 APR,2
2009 MAY,2
2009 JUN,3
2009 JUL,3
2009 AUG,3
2009 SEP,3
2009 OCT,2
2009 NOV,3
2009 DEC,3
2010 JAN,3
2010 FEB,3
2010 MAR,3
2010 APR,3
2010 MAY,3
2010 JUN,3
2010 JUL,3
2010 AUG,3
2010 SEP,3
2010 OCT,3
2010 NOV,3
2010 DEC,3
2011 JAN,3
2011 FEB,3
2011 MAR,3
2011 APR,3
2011 MAY,3
2011 JUN,3
2011 JUL,3
2011 AUG,3
2011 SEP,3
2011 OCT,3
2011 NOV,3
2011 DEC,3
2012 JAN,3
2012 FEB,3
2012 MAR,3
2012 APR,3
2012 MAY,3
2012 JUN,4
2012 JUL,3
2012 AUG,3
2012 SEP,3
2012 OCT,3
2012 NOV,3
2012 DEC,3
2013 JAN,3
2013 FEB,3
2013 MAR,3
2013 APR,4
2013 MAY,4
2013 JUN,4
2013 JUL,4
2013 AUG,4
2013 SEP,4
2013 OCT,4
2013 NOV,4
2013 DEC,4
2014 JAN,4
2014 FEB,4
2014 MAR,4
2014 APR,4
2014 MAY,4
2014 JUN,4
2014 JUL,4
2014 AUG,4
2014 SEP,4
2014 OCT,4
2014 NOV,4
2014 DEC,4
2015 JAN,4
2015 FEB,4
2015 MAR,4
2015 APR,4
2015 MAY,4
2015 JUN,4
2015 JUL,4
2015 AUG,4
2015 SEP,4
2015 OCT,4
2015 NOV,4
2015 DEC,4
2016 JAN,4
2016 FEB,4
2016 MAR,4
2016 APR,4
2016 MAY,4
2016 JUN,4
2016 JUL,4
2016 AUG,5
2016 SEP,4
2016 OCT,4
2016 NOV,4
2016 DEC,4
2017 JAN,4
2017 FEB,4
2017 MAR,4
2017 APR,4
2017 MAY,4
2017 JUN,4
2017 JUL,4
2017 AUG,4
2017 SEP,4
2017 OCT,4
2017 NOV,4
2017 DEC,4
2018 JAN,4
2018 FEB,4
2018 MAR,3
2018 APR,3
2018 MAY,4
2018 JUN,4
2018 JUL,4
2018 AUG,3
2018 SEP,3
2018 OCT,3
2018 NOV,3
2018 DEC,3
