Title,Count
2001 MAY,31
2001 JUN,30
2001 JUL,28
2001 AUG,29
2001 SEP,28
2001 OCT,30
2001 NOV,29
2001 DEC,28
2002 JAN,26
2002 FEB,26
2002 MAR,25
2002 APR,25
2002 MAY,24
2002 JUN,24
2002 JUL,25
2002 AUG,25
2002 SEP,24
2002 OCT,23
2002 NOV,23
2002 DEC,25
2003 JAN,23
2003 FEB,24
2003 MAR,24
2003 APR,25
2003 MAY,24
2003 JUN,25
2003 JUL,26
2003 AUG,26
2003 SEP,27
2003 OCT,29
2003 NOV,29
2003 DEC,30
2004 JAN,32
2004 FEB,32
2004 MAR,34
2004 APR,33
2004 MAY,33
2004 JUN,33
2004 JUL,32
2004 AUG,33
2004 SEP,34
2004 OCT,33
2004 NOV,33
2004 DEC,34
2005 JAN,34
2005 FEB,34
2005 MAR,34
2005 APR,34
2005 MAY,35
2005 JUN,37
2005 JUL,36
2005 AUG,35
2005 SEP,35
2005 OCT,35
2005 NOV,35
2005 DEC,36
2006 JAN,36
2006 FEB,37
2006 MAR,38
2006 APR,39
2006 MAY,39
2006 JUN,38
2006 JUL,38
2006 AUG,37
2006 SEP,41
2006 OCT,40
2006 NOV,41
2006 DEC,41
2007 JAN,41
2007 FEB,41
2007 MAR,41
2007 APR,41
2007 MAY,42
2007 JUN,44
2007 JUL,45
2007 AUG,46
2007 SEP,44
2007 OCT,43
2007 NOV,42
2007 DEC,41
2008 JAN,39
2008 FEB,37
2008 MAR,38
2008 APR,38
2008 MAY,37
2008 JUN,36
2008 JUL,36
2008 AUG,36
2008 SEP,36
2008 OCT,33
2008 NOV,30
2008 DEC,26
2009 JAN,24
2009 FEB,22
2009 MAR,22
2009 APR,20
2009 MAY,21
2009 JUN,22
2009 JUL,24
2009 AUG,23
2009 SEP,23
2009 OCT,23
2009 NOV,24
2009 DEC,26
2010 JAN,26
2010 FEB,28
2010 MAR,29
2010 APR,30
2010 MAY,31
2010 JUN,31
2010 JUL,29
2010 AUG,29
2010 SEP,29
2010 OCT,30
2010 NOV,31
2010 DEC,31
2011 JAN,31
2011 FEB,30
2011 MAR,29
2011 APR,28
2011 MAY,28
2011 JUN,27
2011 JUL,25
2011 AUG,26
2011 SEP,25
2011 OCT,24
2011 NOV,23
2011 DEC,21
2012 JAN,21
2012 FEB,21
2012 MAR,21
2012 APR,22
2012 MAY,23
2012 JUN,23
2012 JUL,24
2012 AUG,23
2012 SEP,23
2012 OCT,24
2012 NOV,28
2012 DEC,27
2013 JAN,27
2013 FEB,27
2013 MAR,27
2013 APR,27
2013 MAY,27
2013 JUN,28
2013 JUL,29
2013 AUG,30
2013 SEP,32
2013 OCT,32
2013 NOV,32
2013 DEC,32
2014 JAN,32
2014 FEB,34
2014 MAR,35
2014 APR,37
2014 MAY,37
2014 JUN,37
2014 JUL,36
2014 AUG,36
2014 SEP,36
2014 OCT,37
2014 NOV,38
2014 DEC,38
2015 JAN,38
2015 FEB,39
2015 MAR,38
2015 APR,36
2015 MAY,34
2015 JUN,35
2015 JUL,35
2015 AUG,34
2015 SEP,32
2015 OCT,31
2015 NOV,31
2015 DEC,32
2016 JAN,32
2016 FEB,30
2016 MAR,30
2016 APR,29
2016 MAY,30
2016 JUN,29
2016 JUL,29
2016 AUG,30
2016 SEP,31
2016 OCT,32
2016 NOV,31
2016 DEC,31
2017 JAN,32
2017 FEB,33
2017 MAR,34
2017 APR,36
2017 MAY,36
2017 JUN,37
2017 JUL,37
2017 AUG,39
2017 SEP,39
2017 OCT,39
2017 NOV,39
2017 DEC,39
2018 JAN,39
2018 FEB,39
2018 MAR,39
2018 APR,38
2018 MAY,38
2018 JUN,38
2018 JUL,38
2018 AUG,37
2018 SEP,38
2018 OCT,38
2018 NOV,38
2018 DEC,38
