Title,Count
2001 MAY,78
2001 JUN,82
2001 JUL,84
2001 AUG,85
2001 SEP,83
2001 OCT,80
2001 NOV,81
2001 DEC,81
2002 JAN,87
2002 FEB,83
2002 MAR,82
2002 APR,82
2002 MAY,82
2002 JUN,81
2002 JUL,80
2002 AUG,79
2002 SEP,80
2002 OCT,83
2002 NOV,83
2002 DEC,83
2003 JAN,80
2003 FEB,77
2003 MAR,77
2003 APR,77
2003 MAY,76
2003 JUN,74
2003 JUL,74
2003 AUG,75
2003 SEP,77
2003 OCT,79
2003 NOV,77
2003 DEC,74
2004 JAN,76
2004 FEB,77
2004 MAR,78
2004 APR,77
2004 MAY,78
2004 JUN,78
2004 JUL,79
2004 AUG,78
2004 SEP,78
2004 OCT,77
2004 NOV,75
2004 DEC,76
2005 JAN,77
2005 FEB,78
2005 MAR,76
2005 APR,80
2005 MAY,81
2005 JUN,80
2005 JUL,79
2005 AUG,77
2005 SEP,73
2005 OCT,70
2005 NOV,68
2005 DEC,69
2006 JAN,65
2006 FEB,63
2006 MAR,62
2006 APR,61
2006 MAY,60
2006 JUN,61
2006 JUL,62
2006 AUG,60
2006 SEP,58
2006 OCT,59
2006 NOV,62
2006 DEC,63
2007 JAN,65
2007 FEB,64
2007 MAR,63
2007 APR,62
2007 MAY,65
2007 JUN,66
2007 JUL,67
2007 AUG,68
2007 SEP,71
2007 OCT,74
2007 NOV,74
2007 DEC,73
2008 JAN,72
2008 FEB,72
2008 MAR,72
2008 APR,73
2008 MAY,72
2008 JUN,72
2008 JUL,72
2008 AUG,72
2008 SEP,72
2008 OCT,70
2008 NOV,68
2008 DEC,68
2009 JAN,67
2009 FEB,69
2009 MAR,67
2009 APR,66
2009 MAY,63
2009 JUN,61
2009 JUL,62
2009 AUG,58
2009 SEP,58
2009 OCT,58
2009 NOV,60
2009 DEC,60
2010 JAN,63
2010 FEB,64
2010 MAR,64
2010 APR,63
2010 MAY,62
2010 JUN,62
2010 JUL,61
2010 AUG,61
2010 SEP,59
2010 OCT,58
2010 NOV,56
2010 DEC,53
2011 JAN,52
2011 FEB,51
2011 MAR,52
2011 APR,51
2011 MAY,52
2011 JUN,51
2011 JUL,53
2011 AUG,53
2011 SEP,55
2011 OCT,55
2011 NOV,55
2011 DEC,55
2012 JAN,54
2012 FEB,54
2012 MAR,56
2012 APR,58
2012 MAY,58
2012 JUN,59
2012 JUL,59
2012 AUG,60
2012 SEP,61
2012 OCT,62
2012 NOV,64
2012 DEC,67
2013 JAN,68
2013 FEB,69
2013 MAR,68
2013 APR,70
2013 MAY,72
2013 JUN,73
2013 JUL,74
2013 AUG,76
2013 SEP,77
2013 OCT,79
2013 NOV,80
2013 DEC,81
2014 JAN,84
2014 FEB,87
2014 MAR,89
2014 APR,90
2014 MAY,93
2014 JUN,94
2014 JUL,97
2014 AUG,97
2014 SEP,101
2014 OCT,104
2014 NOV,106
2014 DEC,105
2015 JAN,106
2015 FEB,107
2015 MAR,109
2015 APR,111
2015 MAY,113
2015 JUN,117
2015 JUL,119
2015 AUG,119
2015 SEP,118
2015 OCT,119
2015 NOV,121
2015 DEC,125
2016 JAN,127
2016 FEB,124
2016 MAR,120
2016 APR,119
2016 MAY,118
2016 JUN,120
2016 JUL,120
2016 AUG,121
2016 SEP,121
2016 OCT,119
2016 NOV,119
2016 DEC,119
2017 JAN,121
2017 FEB,119
2017 MAR,122
2017 APR,123
2017 MAY,123
2017 JUN,119
2017 JUL,119
2017 AUG,121
2017 SEP,124
2017 OCT,126
2017 NOV,127
2017 DEC,131
2018 JAN,129
2018 FEB,129
2018 MAR,126
2018 APR,130
2018 MAY,131
2018 JUN,133
2018 JUL,134
2018 AUG,130
2018 SEP,131
2018 OCT,131
2018 NOV,131
2018 DEC,131
