Title,Count
2001 MAY,75
2001 JUN,75
2001 JUL,73
2001 AUG,71
2001 SEP,68
2001 OCT,66
2001 NOV,61
2001 DEC,66
2002 JAN,66
2002 FEB,65
2002 MAR,65
2002 APR,64
2002 MAY,65
2002 JUN,66
2002 JUL,63
2002 AUG,63
2002 SEP,63
2002 OCT,62
2002 NOV,61
2002 DEC,59
2003 JAN,58
2003 FEB,59
2003 MAR,56
2003 APR,56
2003 MAY,54
2003 JUN,53
2003 JUL,55
2003 AUG,57
2003 SEP,59
2003 OCT,59
2003 NOV,59
2003 DEC,58
2004 JAN,58
2004 FEB,58
2004 MAR,61
2004 APR,62
2004 MAY,65
2004 JUN,66
2004 JUL,68
2004 AUG,65
2004 SEP,64
2004 OCT,62
2004 NOV,63
2004 DEC,63
2005 JAN,60
2005 FEB,60
2005 MAR,58
2005 APR,56
2005 MAY,54
2005 JUN,54
2005 JUL,52
2005 AUG,51
2005 SEP,50
2005 OCT,51
2005 NOV,50
2005 DEC,51
2006 JAN,51
2006 FEB,50
2006 MAR,51
2006 APR,52
2006 MAY,51
2006 JUN,50
2006 JUL,50
2006 AUG,50
2006 SEP,50
2006 OCT,50
2006 NOV,51
2006 DEC,52
2007 JAN,55
2007 FEB,57
2007 MAR,56
2007 APR,56
2007 MAY,54
2007 JUN,57
2007 JUL,58
2007 AUG,59
2007 SEP,60
2007 OCT,59
2007 NOV,59
2007 DEC,60
2008 JAN,59
2008 FEB,59
2008 MAR,56
2008 APR,55
2008 MAY,55
2008 JUN,52
2008 JUL,50
2008 AUG,46
2008 SEP,44
2008 OCT,39
2008 NOV,34
2008 DEC,31
2009 JAN,29
2009 FEB,28
2009 MAR,27
2009 APR,27
2009 MAY,27
2009 JUN,27
2009 JUL,27
2009 AUG,28
2009 SEP,27
2009 OCT,29
2009 NOV,30
2009 DEC,30
2010 JAN,26
2010 FEB,27
2010 MAR,26
2010 APR,30
2010 MAY,31
2010 JUN,35
2010 JUL,34
2010 AUG,34
2010 SEP,33
2010 OCT,34
2010 NOV,34
2010 DEC,34
2011 JAN,37
2011 FEB,39
2011 MAR,41
2011 APR,40
2011 MAY,38
2011 JUN,37
2011 JUL,36
2011 AUG,37
2011 SEP,37
2011 OCT,36
2011 NOV,38
2011 DEC,41
2012 JAN,41
2012 FEB,40
2012 MAR,40
2012 APR,38
2012 MAY,38
2012 JUN,36
2012 JUL,37
2012 AUG,37
2012 SEP,38
2012 OCT,37
2012 NOV,36
2012 DEC,36
2013 JAN,37
2013 FEB,38
2013 MAR,37
2013 APR,38
2013 MAY,37
2013 JUN,37
2013 JUL,37
2013 AUG,37
2013 SEP,39
2013 OCT,40
2013 NOV,40
2013 DEC,40
2014 JAN,39
2014 FEB,44
2014 MAR,46
2014 APR,47
2014 MAY,46
2014 JUN,50
2014 JUL,51
2014 AUG,53
2014 SEP,48
2014 OCT,48
2014 NOV,47
2014 DEC,48
2015 JAN,50
2015 FEB,48
2015 MAR,47
2015 APR,47
2015 MAY,49
2015 JUN,50
2015 JUL,50
2015 AUG,50
2015 SEP,49
2015 OCT,48
2015 NOV,48
2015 DEC,49
2016 JAN,47
2016 FEB,47
2016 MAR,45
2016 APR,46
2016 MAY,46
2016 JUN,48
2016 JUL,49
2016 AUG,51
2016 SEP,51
2016 OCT,52
2016 NOV,52
2016 DEC,52
2017 JAN,52
2017 FEB,50
2017 MAR,55
2017 APR,53
2017 MAY,54
2017 JUN,50
2017 JUL,51
2017 AUG,51
2017 SEP,53
2017 OCT,55
2017 NOV,58
2017 DEC,57
2018 JAN,58
2018 FEB,58
2018 MAR,60
2018 APR,59
2018 MAY,60
2018 JUN,58
2018 JUL,60
2018 AUG,61
2018 SEP,62
2018 OCT,61
2018 NOV,62
2018 DEC,65
