Title,Count
2001 MAY,55
2001 JUN,53
2001 JUL,53
2001 AUG,53
2001 SEP,52
2001 OCT,49
2001 NOV,46
2001 DEC,44
2002 JAN,43
2002 FEB,43
2002 MAR,44
2002 APR,44
2002 MAY,44
2002 JUN,43
2002 JUL,42
2002 AUG,40
2002 SEP,41
2002 OCT,40
2002 NOV,41
2002 DEC,41
2003 JAN,40
2003 FEB,40
2003 MAR,39
2003 APR,39
2003 MAY,37
2003 JUN,36
2003 JUL,37
2003 AUG,38
2003 SEP,40
2003 OCT,39
2003 NOV,41
2003 DEC,42
2004 JAN,43
2004 FEB,44
2004 MAR,45
2004 APR,44
2004 MAY,46
2004 JUN,48
2004 JUL,50
2004 AUG,50
2004 SEP,52
2004 OCT,53
2004 NOV,53
2004 DEC,53
2005 JAN,52
2005 FEB,50
2005 MAR,50
2005 APR,51
2005 MAY,51
2005 JUN,50
2005 JUL,49
2005 AUG,49
2005 SEP,49
2005 OCT,50
2005 NOV,51
2005 DEC,51
2006 JAN,51
2006 FEB,51
2006 MAR,50
2006 APR,51
2006 MAY,53
2006 JUN,55
2006 JUL,57
2006 AUG,58
2006 SEP,58
2006 OCT,57
2006 NOV,58
2006 DEC,58
2007 JAN,57
2007 FEB,57
2007 MAR,57
2007 APR,57
2007 MAY,59
2007 JUN,60
2007 JUL,62
2007 AUG,60
2007 SEP,60
2007 OCT,59
2007 NOV,60
2007 DEC,59
2008 JAN,63
2008 FEB,64
2008 MAR,66
2008 APR,66
2008 MAY,64
2008 JUN,60
2008 JUL,54
2008 AUG,52
2008 SEP,48
2008 OCT,44
2008 NOV,38
2008 DEC,34
2009 JAN,32
2009 FEB,33
2009 MAR,31
2009 APR,31
2009 MAY,28
2009 JUN,29
2009 JUL,28
2009 AUG,30
2009 SEP,30
2009 OCT,31
2009 NOV,33
2009 DEC,33
2010 JAN,35
2010 FEB,35
2010 MAR,35
2010 APR,35
2010 MAY,38
2010 JUN,38
2010 JUL,38
2010 AUG,38
2010 SEP,40
2010 OCT,40
2010 NOV,40
2010 DEC,41
2011 JAN,41
2011 FEB,43
2011 MAR,44
2011 APR,46
2011 MAY,46
2011 JUN,43
2011 JUL,46
2011 AUG,45
2011 SEP,48
2011 OCT,45
2011 NOV,46
2011 DEC,49
2012 JAN,47
2012 FEB,46
2012 MAR,43
2012 APR,44
2012 MAY,44
2012 JUN,43
2012 JUL,45
2012 AUG,46
2012 SEP,46
2012 OCT,44
2012 NOV,44
2012 DEC,43
2013 JAN,43
2013 FEB,44
2013 MAR,46
2013 APR,46
2013 MAY,47
2013 JUN,48
2013 JUL,48
2013 AUG,48
2013 SEP,48
2013 OCT,50
2013 NOV,52
2013 DEC,54
2014 JAN,56
2014 FEB,59
2014 MAR,58
2014 APR,59
2014 MAY,58
2014 JUN,59
2014 JUL,59
2014 AUG,64
2014 SEP,63
2014 OCT,62
2014 NOV,61
2014 DEC,66
2015 JAN,65
2015 FEB,65
2015 MAR,62
2015 APR,66
2015 MAY,67
2015 JUN,69
2015 JUL,70
2015 AUG,71
2015 SEP,68
2015 OCT,67
2015 NOV,65
2015 DEC,64
2016 JAN,65
2016 FEB,66
2016 MAR,68
2016 APR,66
2016 MAY,66
2016 JUN,64
2016 JUL,64
2016 AUG,63
2016 SEP,64
2016 OCT,65
2016 NOV,65
2016 DEC,64
2017 JAN,65
2017 FEB,66
2017 MAR,69
2017 APR,67
2017 MAY,69
2017 JUN,67
2017 JUL,68
2017 AUG,69
2017 SEP,71
2017 OCT,73
2017 NOV,77
2017 DEC,76
2018 JAN,72
2018 FEB,72
2018 MAR,73
2018 APR,74
2018 MAY,73
2018 JUN,70
2018 JUL,74
2018 AUG,77
2018 SEP,81
2018 OCT,78
2018 NOV,77
2018 DEC,78
