Title,Count
2001 MAY,17
2001 JUN,16
2001 JUL,16
2001 AUG,16
2001 SEP,15
2001 OCT,16
2001 NOV,16
2001 DEC,17
2002 JAN,16
2002 FEB,16
2002 MAR,15
2002 APR,15
2002 MAY,15
2002 JUN,16
2002 JUL,16
2002 AUG,18
2002 SEP,17
2002 OCT,17
2002 NOV,17
2002 DEC,17
2003 JAN,18
2003 FEB,18
2003 MAR,18
2003 APR,18
2003 MAY,18
2003 JUN,19
2003 JUL,18
2003 AUG,19
2003 SEP,19
2003 OCT,19
2003 NOV,18
2003 DEC,18
2004 JAN,17
2004 FEB,17
2004 MAR,17
2004 APR,18
2004 MAY,18
2004 JUN,18
2004 JUL,18
2004 AUG,17
2004 SEP,17
2004 OCT,18
2004 NOV,18
2004 DEC,19
2005 JAN,18
2005 FEB,18
2005 MAR,19
2005 APR,19
2005 MAY,19
2005 JUN,18
2005 JUL,18
2005 AUG,18
2005 SEP,19
2005 OCT,20
2005 NOV,20
2005 DEC,20
2006 JAN,20
2006 FEB,21
2006 MAR,21
2006 APR,21
2006 MAY,21
2006 JUN,21
2006 JUL,22
2006 AUG,22
2006 SEP,22
2006 OCT,21
2006 NOV,22
2006 DEC,22
2007 JAN,22
2007 FEB,22
2007 MAR,21
2007 APR,21
2007 MAY,21
2007 JUN,22
2007 JUL,23
2007 AUG,23
2007 SEP,23
2007 OCT,22
2007 NOV,22
2007 DEC,23
2008 JAN,23
2008 FEB,24
2008 MAR,24
2008 APR,25
2008 MAY,25
2008 JUN,25
2008 JUL,26
2008 AUG,27
2008 SEP,27
2008 OCT,27
2008 NOV,26
2008 DEC,26
2009 JAN,26
2009 FEB,26
2009 MAR,27
2009 APR,26
2009 MAY,26
2009 JUN,26
2009 JUL,25
2009 AUG,23
2009 SEP,20
2009 OCT,16
2009 NOV,16
2009 DEC,14
2010 JAN,13
2010 FEB,11
2010 MAR,10
2010 APR,10
2010 MAY,9
2010 JUN,8
2010 JUL,7
2010 AUG,5
2010 SEP,6
2010 OCT,17
2010 NOV,29
2010 DEC,39
2011 JAN,34
2011 FEB,24
2011 MAR,15
2011 APR,9
2011 MAY,8
2011 JUN,8
2011 JUL,7
2011 AUG,7
2011 SEP,7
2011 OCT,7
2011 NOV,7
2011 DEC,7
2012 JAN,7
2012 FEB,7
2012 MAR,8
2012 APR,8
2012 MAY,8
2012 JUN,8
2012 JUL,7
2012 AUG,7
2012 SEP,7
2012 OCT,7
2012 NOV,8
2012 DEC,8
2013 JAN,8
2013 FEB,8
2013 MAR,9
2013 APR,9
2013 MAY,9
2013 JUN,8
2013 JUL,8
2013 AUG,9
2013 SEP,9
2013 OCT,9
2013 NOV,9
2013 DEC,9
2014 JAN,10
2014 FEB,10
2014 MAR,11
2014 APR,11
2014 MAY,11
2014 JUN,11
2014 JUL,10
2014 AUG,11
2014 SEP,11
2014 OCT,12
2014 NOV,12
2014 DEC,11
2015 JAN,11
2015 FEB,11
2015 MAR,12
2015 APR,11
2015 MAY,11
2015 JUN,11
2015 JUL,12
2015 AUG,13
2015 SEP,13
2015 OCT,13
2015 NOV,12
2015 DEC,12
2016 JAN,11
2016 FEB,11
2016 MAR,10
2016 APR,11
2016 MAY,13
2016 JUN,14
2016 JUL,14
2016 AUG,13
2016 SEP,13
2016 OCT,13
2016 NOV,13
2016 DEC,13
2017 JAN,15
2017 FEB,16
2017 MAR,16
2017 APR,16
2017 MAY,16
2017 JUN,16
2017 JUL,17
2017 AUG,17
2017 SEP,17
2017 OCT,17
2017 NOV,17
2017 DEC,18
2018 JAN,18
2018 FEB,18
2018 MAR,19
2018 APR,20
2018 MAY,20
2018 JUN,21
2018 JUL,21
2018 AUG,22
2018 SEP,24
2018 OCT,24
2018 NOV,23
2018 DEC,22
