Title,Count
2001 MAY,8
2001 JUN,7
2001 JUL,6
2001 AUG,6
2001 SEP,6
2001 OCT,6
2001 NOV,5
2001 DEC,5
2002 JAN,5
2002 FEB,6
2002 MAR,6
2002 APR,6
2002 MAY,7
2002 JUN,7
2002 JUL,7
2002 AUG,7
2002 SEP,7
2002 OCT,6
2002 NOV,5
2002 DEC,5
2003 JAN,7
2003 FEB,7
2003 MAR,7
2003 APR,6
2003 MAY,6
2003 JUN,7
2003 JUL,7
2003 AUG,7
2003 SEP,7
2003 OCT,7
2003 NOV,7
2003 DEC,6
2004 JAN,7
2004 FEB,6
2004 MAR,7
2004 APR,7
2004 MAY,9
2004 JUN,8
2004 JUL,8
2004 AUG,7
2004 SEP,7
2004 OCT,7
2004 NOV,6
2004 DEC,6
2005 JAN,6
2005 FEB,6
2005 MAR,6
2005 APR,6
2005 MAY,6
2005 JUN,7
2005 JUL,6
2005 AUG,7
2005 SEP,7
2005 OCT,7
2005 NOV,7
2005 DEC,8
2006 JAN,8
2006 FEB,10
2006 MAR,10
2006 APR,10
2006 MAY,9
2006 JUN,9
2006 JUL,8
2006 AUG,7
2006 SEP,8
2006 OCT,8
2006 NOV,8
2006 DEC,7
2007 JAN,8
2007 FEB,8
2007 MAR,9
2007 APR,9
2007 MAY,11
2007 JUN,11
2007 JUL,10
2007 AUG,9
2007 SEP,9
2007 OCT,10
2007 NOV,9
2007 DEC,8
2008 JAN,8
2008 FEB,10
2008 MAR,10
2008 APR,10
2008 MAY,9
2008 JUN,8
2008 JUL,7
2008 AUG,8
2008 SEP,8
2008 OCT,6
2008 NOV,7
2008 DEC,7
2009 JAN,7
2009 FEB,5
2009 MAR,5
2009 APR,4
2009 MAY,5
2009 JUN,6
2009 JUL,7
2009 AUG,8
2009 SEP,6
2009 OCT,5
2009 NOV,5
2009 DEC,7
2010 JAN,7
2010 FEB,7
2010 MAR,6
2010 APR,6
2010 MAY,7
2010 JUN,7
2010 JUL,7
2010 AUG,6
2010 SEP,6
2010 OCT,6
2010 NOV,5
2010 DEC,6
2011 JAN,6
2011 FEB,5
2011 MAR,4
2011 APR,4
2011 MAY,4
2011 JUN,4
2011 JUL,4
2011 AUG,5
2011 SEP,5
2011 OCT,6
2011 NOV,6
2011 DEC,6
2012 JAN,5
2012 FEB,5
2012 MAR,5
2012 APR,7
2012 MAY,8
2012 JUN,8
2012 JUL,7
2012 AUG,7
2012 SEP,7
2012 OCT,7
2012 NOV,6
2012 DEC,6
2013 JAN,6
2013 FEB,7
2013 MAR,6
2013 APR,7
2013 MAY,6
2013 JUN,7
2013 JUL,8
2013 AUG,8
2013 SEP,10
2013 OCT,9
2013 NOV,9
2013 DEC,8
2014 JAN,9
2014 FEB,9
2014 MAR,10
2014 APR,11
2014 MAY,12
2014 JUN,11
2014 JUL,10
2014 AUG,9
2014 SEP,11
2014 OCT,10
2014 NOV,10
2014 DEC,8
2015 JAN,9
2015 FEB,10
2015 MAR,11
2015 APR,10
2015 MAY,11
2015 JUN,12
2015 JUL,14
2015 AUG,15
2015 SEP,14
2015 OCT,14
2015 NOV,12
2015 DEC,11
2016 JAN,9
2016 FEB,9
2016 MAR,8
2016 APR,10
2016 MAY,10
2016 JUN,11
2016 JUL,11
2016 AUG,10
2016 SEP,9
2016 OCT,8
2016 NOV,8
2016 DEC,9
2017 JAN,11
2017 FEB,13
2017 MAR,13
2017 APR,11
2017 MAY,11
2017 JUN,11
2017 JUL,10
2017 AUG,10
2017 SEP,9
2017 OCT,10
2017 NOV,9
2017 DEC,9
2018 JAN,9
2018 FEB,11
2018 MAR,10
2018 APR,11
2018 MAY,10
2018 JUN,11
2018 JUL,11
2018 AUG,12
2018 SEP,11
2018 OCT,12
2018 NOV,13
2018 DEC,15
