Title,Count
2001 MAY,567
2001 JUN,562
2001 JUL,553
2001 AUG,552
2001 SEP,535
2001 OCT,526
2001 NOV,511
2001 DEC,514
2002 JAN,521
2002 FEB,523
2002 MAR,524
2002 APR,518
2002 MAY,518
2002 JUN,514
2002 JUL,517
2002 AUG,517
2002 SEP,519
2002 OCT,516
2002 NOV,512
2002 DEC,512
2003 JAN,503
2003 FEB,501
2003 MAR,498
2003 APR,499
2003 MAY,493
2003 JUN,488
2003 JUL,490
2003 AUG,502
2003 SEP,514
2003 OCT,518
2003 NOV,521
2003 DEC,525
2004 JAN,528
2004 FEB,534
2004 MAR,539
2004 APR,544
2004 MAY,546
2004 JUN,555
2004 JUL,555
2004 AUG,556
2004 SEP,558
2004 OCT,563
2004 NOV,568
2004 DEC,575
2005 JAN,568
2005 FEB,553
2005 MAR,547
2005 APR,554
2005 MAY,557
2005 JUN,553
2005 JUL,546
2005 AUG,543
2005 SEP,532
2005 OCT,525
2005 NOV,527
2005 DEC,533
2006 JAN,527
2006 FEB,519
2006 MAR,518
2006 APR,516
2006 MAY,524
2006 JUN,530
2006 JUL,532
2006 AUG,532
2006 SEP,539
2006 OCT,539
2006 NOV,539
2006 DEC,540
2007 JAN,544
2007 FEB,554
2007 MAR,559
2007 APR,566
2007 MAY,575
2007 JUN,578
2007 JUL,588
2007 AUG,587
2007 SEP,588
2007 OCT,591
2007 NOV,591
2007 DEC,592
2008 JAN,597
2008 FEB,609
2008 MAR,601
2008 APR,589
2008 MAY,568
2008 JUN,558
2008 JUL,542
2008 AUG,537
2008 SEP,526
2008 OCT,500
2008 NOV,469
2008 DEC,440
2009 JAN,421
2009 FEB,413
2009 MAR,407
2009 APR,400
2009 MAY,389
2009 JUN,390
2009 JUL,399
2009 AUG,397
2009 SEP,398
2009 OCT,399
2009 NOV,410
2009 DEC,413
2010 JAN,419
2010 FEB,419
2010 MAR,426
2010 APR,434
2010 MAY,438
2010 JUN,430
2010 JUL,413
2010 AUG,409
2010 SEP,411
2010 OCT,425
2010 NOV,429
2010 DEC,438
2011 JAN,431
2011 FEB,422
2011 MAR,413
2011 APR,404
2011 MAY,406
2011 JUN,407
2011 JUL,411
2011 AUG,413
2011 SEP,419
2011 OCT,412
2011 NOV,411
2011 DEC,411
2012 JAN,409
2012 FEB,406
2012 MAR,404
2012 APR,411
2012 MAY,416
2012 JUN,423
2012 JUL,428
2012 AUG,432
2012 SEP,434
2012 OCT,438
2012 NOV,445
2012 DEC,442
2013 JAN,445
2013 FEB,447
2013 MAR,457
2013 APR,462
2013 MAY,474
2013 JUN,480
2013 JUL,478
2013 AUG,491
2013 SEP,493
2013 OCT,507
2013 NOV,508
2013 DEC,518
2014 JAN,530
2014 FEB,546
2014 MAR,564
2014 APR,577
2014 MAY,587
2014 JUN,590
2014 JUL,599
2014 AUG,601
2014 SEP,619
2014 OCT,625
2014 NOV,631
2014 DEC,637
2015 JAN,641
2015 FEB,652
2015 MAR,647
2015 APR,648
2015 MAY,646
2015 JUN,654
2015 JUL,657
2015 AUG,657
2015 SEP,656
2015 OCT,660
2015 NOV,667
2015 DEC,679
2016 JAN,675
2016 FEB,675
2016 MAR,668
2016 APR,669
2016 MAY,669
2016 JUN,667
2016 JUL,671
2016 AUG,670
2016 SEP,674
2016 OCT,666
2016 NOV,663
2016 DEC,663
2017 JAN,672
2017 FEB,683
2017 MAR,698
2017 APR,696
2017 MAY,695
2017 JUN,691
2017 JUL,700
2017 AUG,708
2017 SEP,708
2017 OCT,717
2017 NOV,721
2017 DEC,733
2018 JAN,725
2018 FEB,727
2018 MAR,718
2018 APR,728
2018 MAY,735
2018 JUN,739
2018 JUL,743
2018 AUG,749
2018 SEP,759
2018 OCT,759
2018 NOV,757
2018 DEC,767
