Title,Count
2001 MAY,131
2001 JUN,130
2001 JUL,129
2001 AUG,122
2001 SEP,119
2001 OCT,120
2001 NOV,121
2001 DEC,126
2002 JAN,125
2002 FEB,127
2002 MAR,125
2002 APR,120
2002 MAY,121
2002 JUN,119
2002 JUL,119
2002 AUG,126
2002 SEP,129
2002 OCT,128
2002 NOV,120
2002 DEC,115
2003 JAN,112
2003 FEB,112
2003 MAR,112
2003 APR,111
2003 MAY,111
2003 JUN,110
2003 JUL,113
2003 AUG,117
2003 SEP,120
2003 OCT,119
2003 NOV,122
2003 DEC,128
2004 JAN,127
2004 FEB,128
2004 MAR,127
2004 APR,132
2004 MAY,133
2004 JUN,134
2004 JUL,133
2004 AUG,133
2004 SEP,133
2004 OCT,136
2004 NOV,139
2004 DEC,142
2005 JAN,141
2005 FEB,139
2005 MAR,134
2005 APR,132
2005 MAY,131
2005 JUN,132
2005 JUL,131
2005 AUG,132
2005 SEP,124
2005 OCT,121
2005 NOV,120
2005 DEC,121
2006 JAN,117
2006 FEB,111
2006 MAR,113
2006 APR,117
2006 MAY,121
2006 JUN,120
2006 JUL,119
2006 AUG,120
2006 SEP,120
2006 OCT,118
2006 NOV,118
2006 DEC,116
2007 JAN,121
2007 FEB,123
2007 MAR,127
2007 APR,126
2007 MAY,128
2007 JUN,126
2007 JUL,131
2007 AUG,130
2007 SEP,130
2007 OCT,128
2007 NOV,129
2007 DEC,132
2008 JAN,131
2008 FEB,135
2008 MAR,133
2008 APR,126
2008 MAY,119
2008 JUN,115
2008 JUL,111
2008 AUG,107
2008 SEP,107
2008 OCT,100
2008 NOV,94
2008 DEC,84
2009 JAN,80
2009 FEB,79
2009 MAR,76
2009 APR,75
2009 MAY,76
2009 JUN,77
2009 JUL,79
2009 AUG,80
2009 SEP,81
2009 OCT,82
2009 NOV,85
2009 DEC,85
2010 JAN,86
2010 FEB,86
2010 MAR,88
2010 APR,92
2010 MAY,94
2010 JUN,94
2010 JUL,92
2010 AUG,92
2010 SEP,93
2010 OCT,94
2010 NOV,93
2010 DEC,92
2011 JAN,92
2011 FEB,90
2011 MAR,92
2011 APR,92
2011 MAY,93
2011 JUN,92
2011 JUL,90
2011 AUG,92
2011 SEP,93
2011 OCT,92
2011 NOV,90
2011 DEC,89
2012 JAN,91
2012 FEB,90
2012 MAR,89
2012 APR,88
2012 MAY,89
2012 JUN,92
2012 JUL,95
2012 AUG,96
2012 SEP,94
2012 OCT,95
2012 NOV,94
2012 DEC,94
2013 JAN,91
2013 FEB,95
2013 MAR,97
2013 APR,100
2013 MAY,102
2013 JUN,102
2013 JUL,100
2013 AUG,107
2013 SEP,109
2013 OCT,112
2013 NOV,109
2013 DEC,110
2014 JAN,112
2014 FEB,112
2014 MAR,114
2014 APR,117
2014 MAY,120
2014 JUN,122
2014 JUL,125
2014 AUG,127
2014 SEP,127
2014 OCT,128
2014 NOV,128
2014 DEC,130
2015 JAN,129
2015 FEB,132
2015 MAR,130
2015 APR,128
2015 MAY,127
2015 JUN,128
2015 JUL,129
2015 AUG,125
2015 SEP,123
2015 OCT,128
2015 NOV,135
2015 DEC,139
2016 JAN,139
2016 FEB,140
2016 MAR,139
2016 APR,138
2016 MAY,137
2016 JUN,136
2016 JUL,136
2016 AUG,135
2016 SEP,137
2016 OCT,134
2016 NOV,135
2016 DEC,135
2017 JAN,135
2017 FEB,135
2017 MAR,138
2017 APR,138
2017 MAY,140
2017 JUN,137
2017 JUL,142
2017 AUG,143
2017 SEP,143
2017 OCT,141
2017 NOV,137
2017 DEC,133
2018 JAN,132
2018 FEB,136
2018 MAR,134
2018 APR,133
2018 MAY,131
2018 JUN,133
2018 JUL,136
2018 AUG,138
2018 SEP,138
2018 OCT,140
2018 NOV,140
2018 DEC,140
